Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
13K483,The Urban Assembly School for Law and Justice,N/A,1.9%,3.4%,,103.0%,163.9%,225.7%,,Exceeding Target,16.2%,41.1%,388.2%,110.0%,197.0%,285.2%,4.76,Exceeding Target,24.8%,37.2%,261.5%,71.2%,127.5%,184.6%,4.88,Exceeding Target,13.3%,34.1%,242.9%,65.3%,116.9%,169.2%,4.92,Exceeding Target,24.8%,37.2%,73.1%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,24.8%,37.2%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,24.3%,40.0%,53.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
13K499,ACORN Community High School,N/A,2.7%,4.8%,,103.0%,163.9%,225.7%,,Not Meeting Target,20.7%,52.5%,54.8%,110.0%,197.0%,285.2%,1.50,Not Meeting Target,46.7%,70.1%,55.7%,71.2%,127.5%,184.6%,1.78,Not Meeting Target,27.3%,70.0%,34.1%,65.3%,116.9%,169.2%,1.52,Approaching Target,46.7%,70.1%,8.6%,7.3%,13.0%,18.9%,2.23,Meeting Target,46.7%,70.1%,2.9%,1.4%,2.5%,3.7%,3.33,Exceeding Target,46.6%,76.6%,33.7%,11.4%,20.4%,29.5%,4.30,,,,,,,
13K527,Urban Assembly Institute of Math and Science for Y,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,Meeting Target,13.5%,34.3%,230.0%,110.0%,197.0%,285.2%,3.37,Meeting Target,27.0%,40.5%,170.0%,71.2%,127.5%,184.6%,3.74,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,Exceeding Target,27.0%,40.5%,45.0%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,27.0%,40.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,36.4%,59.9%,80.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
13K595,Bedford Academy High School,N/A,2.5%,4.5%,,103.0%,163.9%,225.7%,,N/A,7.6%,19.3%,408.3%,110.0%,197.0%,285.2%,,N/A,8.9%,13.4%,200.0%,71.2%,127.5%,184.6%,,N/A,6.3%,16.2%,160.0%,65.3%,116.9%,169.2%,,N/A,8.9%,13.4%,14.3%,7.3%,13.0%,18.9%,,N/A,8.9%,13.4%,14.3%,1.4%,2.5%,3.7%,,N/A,14.3%,23.5%,84.6%,11.4%,20.4%,29.5%,,,,,,,,
13K605,George Westinghouse Career and Technical Education,N/A,3.8%,6.8%,166.7%,103.0%,163.9%,225.7%,,Meeting Target,15.1%,38.3%,250.0%,110.0%,197.0%,285.2%,3.60,Meeting Target,32.1%,48.2%,139.2%,71.2%,127.5%,184.6%,3.20,Meeting Target,25.2%,64.6%,135.0%,65.3%,116.9%,169.2%,3.35,Meeting Target,32.1%,48.2%,13.7%,7.3%,13.0%,18.9%,3.12,Approaching Target,32.1%,48.2%,2.0%,1.4%,2.5%,3.7%,2.55,Exceeding Target,41.5%,68.3%,34.6%,11.4%,20.4%,29.5%,4.37,,,,,,,
13K670,Benjamin Banneker Academy,N/A,0.9%,1.6%,,103.0%,163.9%,225.7%,,N/A,2.8%,7.1%,300.0%,110.0%,197.0%,285.2%,,N/A,3.3%,5.0%,185.7%,71.2%,127.5%,184.6%,,N/A,1.9%,4.9%,,65.3%,116.9%,169.2%,,N/A,3.3%,5.0%,14.3%,7.3%,13.0%,18.9%,,N/A,3.3%,5.0%,14.3%,1.4%,2.5%,3.7%,,N/A,6.2%,10.2%,25.0%,11.4%,20.4%,29.5%,,,,,,,,
13K674,"City Polytechnic High School of Engineering, Archi",N/A,5.6%,10.1%,285.7%,103.0%,163.9%,225.7%,,Exceeding Target,16.9%,42.9%,407.1%,110.0%,197.0%,285.2%,4.90,Exceeding Target,23.4%,35.1%,262.1%,71.2%,127.5%,184.6%,4.89,Exceeding Target,21.8%,55.9%,233.3%,65.3%,116.9%,169.2%,4.80,Exceeding Target,23.4%,35.1%,41.4%,7.3%,13.0%,18.9%,4.99,Exceeding Target,23.4%,35.1%,20.7%,1.4%,2.5%,3.7%,4.99,Exceeding Target,43.0%,70.7%,35.1%,11.4%,20.4%,29.5%,4.40,,,,,,,
14K071,Juan Morel Campos Secondary School,Approaching Target,36.8%,66.1%,137.5%,103.0%,163.9%,225.7%,2.57,Meeting Target,28.7%,72.8%,200.0%,110.0%,197.0%,285.2%,3.03,Approaching Target,64.4%,96.7%,121.4%,71.2%,127.5%,184.6%,2.89,Meeting Target,40.2%,100.0%,125.7%,65.3%,116.9%,169.2%,3.17,Not Meeting Target,64.4%,96.7%,5.4%,7.3%,13.0%,18.9%,1.74,Not Meeting Target,64.4%,96.7%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,44.2%,72.7%,21.4%,11.4%,20.4%,29.5%,3.11,,,,,,,
14K322,Foundations Academy,N/A,5.4%,9.7%,,103.0%,163.9%,225.7%,,Not Meeting Target,21.6%,54.8%,0.0%,110.0%,197.0%,285.2%,1.00,Not Meeting Target,70.3%,100.0%,30.8%,71.2%,127.5%,184.6%,1.43,Not Meeting Target,32.4%,83.1%,16.7%,65.3%,116.9%,169.2%,1.26,Not Meeting Target,70.3%,100.0%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,70.3%,100.0%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,64.0%,100.0%,0.0%,11.4%,20.4%,29.5%,1.00,,,,,,,
14K449,"Brooklyn Latin School, The",N/A,1.3%,2.3%,,103.0%,163.9%,225.7%,,N/A,1.3%,3.3%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
14K454,Green School: An Academy for Environmental Careers,Approaching Target,17.9%,32.1%,120.6%,103.0%,163.9%,225.7%,2.29,Meeting Target,21.1%,53.6%,260.0%,110.0%,197.0%,285.2%,3.71,Exceeding Target,45.3%,68.0%,186.0%,71.2%,127.5%,184.6%,4.02,Approaching Target,18.9%,48.5%,111.1%,65.3%,116.9%,169.2%,2.89,Exceeding Target,45.3%,68.0%,51.2%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,45.3%,68.0%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,49.5%,81.4%,19.1%,11.4%,20.4%,29.5%,2.86,,,,,,,
14K474,PROGRESS High School for Professional Careers,Exceeding Target,21.8%,39.1%,243.5%,103.0%,163.9%,225.7%,4.19,Meeting Target,16.5%,41.9%,285.1%,110.0%,197.0%,285.2%,3.99,Meeting Target,45.3%,68.0%,167.8%,71.2%,127.5%,184.6%,3.71,Meeting Target,24.2%,62.1%,124.6%,65.3%,116.9%,169.2%,3.15,Not Meeting Target,45.3%,68.0%,5.4%,7.3%,13.0%,18.9%,1.74,Not Meeting Target,45.3%,68.0%,0.8%,1.4%,2.5%,3.7%,1.57,Meeting Target,54.2%,89.1%,24.6%,11.4%,20.4%,29.5%,3.46,,,,,,,
14K477,School for Legal Studies,Approaching Target,21.3%,38.2%,114.5%,103.0%,163.9%,225.7%,2.19,Approaching Target,13.5%,34.3%,116.7%,110.0%,197.0%,285.2%,2.08,Not Meeting Target,42.7%,64.1%,70.4%,71.2%,127.5%,184.6%,1.99,Not Meeting Target,21.9%,56.2%,50.0%,65.3%,116.9%,169.2%,1.77,Not Meeting Target,42.7%,64.1%,3.9%,7.3%,13.0%,18.9%,1.53,Not Meeting Target,42.7%,64.1%,1.3%,1.4%,2.5%,3.7%,1.93,Approaching Target,48.6%,79.9%,18.0%,11.4%,20.4%,29.5%,2.73,,,,,,,
14K478,"The High School for Enterprise, Business and Techn",N/A,12.4%,22.3%,203.0%,103.0%,163.9%,225.7%,,Meeting Target,13.5%,34.3%,208.3%,110.0%,197.0%,285.2%,3.13,Meeting Target,32.7%,49.1%,151.1%,71.2%,127.5%,184.6%,3.41,Meeting Target,22.9%,58.7%,159.8%,65.3%,116.9%,169.2%,3.82,Exceeding Target,32.7%,49.1%,56.3%,7.3%,13.0%,18.9%,4.99,Exceeding Target,32.7%,49.1%,4.6%,1.4%,2.5%,3.7%,4.53,Exceeding Target,34.0%,55.9%,47.1%,11.4%,20.4%,29.5%,4.99,,,,,,,
14K488,Brooklyn Preparatory High School,N/A,7.3%,13.1%,275.0%,103.0%,163.9%,225.7%,,Exceeding Target,20.9%,53.0%,287.0%,110.0%,197.0%,285.2%,4.01,Exceeding Target,40.9%,61.4%,193.3%,71.2%,127.5%,184.6%,4.10,Exceeding Target,20.9%,53.6%,200.0%,65.3%,116.9%,169.2%,4.39,Not Meeting Target,40.9%,61.4%,6.7%,7.3%,13.0%,18.9%,1.92,Exceeding Target,40.9%,61.4%,4.4%,1.4%,2.5%,3.7%,4.41,Meeting Target,41.4%,68.1%,29.2%,11.4%,20.4%,29.5%,3.97,,,,,,,
14K558,Williamsburg High School for Architecture and Desi,N/A,11.5%,20.6%,479.4%,103.0%,163.9%,225.7%,,Exceeding Target,27.0%,68.5%,655.0%,110.0%,197.0%,285.2%,4.99,Exceeding Target,37.2%,55.9%,426.4%,71.2%,127.5%,184.6%,4.99,Exceeding Target,27.7%,71.0%,448.8%,65.3%,116.9%,169.2%,4.99,Exceeding Target,37.2%,55.9%,83.6%,7.3%,13.0%,18.9%,4.99,Meeting Target,37.2%,55.9%,3.6%,1.4%,2.5%,3.7%,3.92,Exceeding Target,34.5%,56.7%,35.0%,11.4%,20.4%,29.5%,4.40,,,,,,,
14K561,Williamsburg Preparatory School,N/A,2.9%,5.2%,220.0%,103.0%,163.9%,225.7%,,Exceeding Target,11.6%,29.4%,305.0%,110.0%,197.0%,285.2%,4.15,Exceeding Target,21.5%,32.3%,209.5%,71.2%,127.5%,184.6%,4.29,Exceeding Target,10.5%,26.9%,222.2%,65.3%,116.9%,169.2%,4.66,Exceeding Target,21.5%,32.3%,75.7%,7.3%,13.0%,18.9%,4.99,Exceeding Target,21.5%,32.3%,5.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,35.3%,58.1%,61.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
14K586,Lyons Community School,Meeting Target,14.1%,25.3%,200.0%,103.0%,163.9%,225.7%,3.58,Approaching Target,31.0%,78.7%,193.2%,110.0%,197.0%,285.2%,2.96,Meeting Target,56.3%,84.5%,156.3%,71.2%,127.5%,184.6%,3.50,Exceeding Target,32.4%,83.1%,176.1%,65.3%,116.9%,169.2%,4.09,Not Meeting Target,56.3%,84.5%,2.5%,7.3%,13.0%,18.9%,1.34,Exceeding Target,56.3%,84.5%,5.0%,1.4%,2.5%,3.7%,4.76,Meeting Target,72.8%,100.0%,28.8%,11.4%,20.4%,29.5%,3.92,,,,,,,
14K610,Automotive High School,N/A,9.2%,16.5%,122.2%,103.0%,163.9%,225.7%,,Approaching Target,37.8%,95.9%,124.3%,110.0%,197.0%,285.2%,2.16,Approaching Target,62.2%,93.4%,79.5%,71.2%,127.5%,184.6%,2.15,Approaching Target,57.1%,100.0%,86.6%,65.3%,116.9%,169.2%,2.41,Not Meeting Target,62.2%,93.4%,4.9%,7.3%,13.0%,18.9%,1.67,Not Meeting Target,62.2%,93.4%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,61.2%,100.0%,9.8%,11.4%,20.4%,29.5%,1.86,,,,,,,
14K614,Young Women's Leadership School of Brooklyn,N/A,2.2%,3.9%,,103.0%,163.9%,225.7%,,Exceeding Target,15.6%,39.6%,428.6%,110.0%,197.0%,285.2%,4.99,Exceeding Target,24.4%,36.6%,281.8%,71.2%,127.5%,184.6%,4.99,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,Meeting Target,24.4%,36.6%,18.2%,7.3%,13.0%,18.9%,3.88,Exceeding Target,24.4%,36.6%,18.2%,1.4%,2.5%,3.7%,4.99,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
14K632,Frances Perkins Academy,N/A,7.3%,13.1%,,103.0%,163.9%,225.7%,,Meeting Target,24.4%,61.9%,280.0%,110.0%,197.0%,285.2%,3.94,Meeting Target,56.1%,84.2%,178.3%,71.2%,127.5%,184.6%,3.89,Exceeding Target,34.1%,87.4%,171.4%,65.3%,116.9%,169.2%,4.03,Approaching Target,56.1%,84.2%,8.7%,7.3%,13.0%,18.9%,2.25,Not Meeting Target,56.1%,84.2%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,58.8%,96.7%,45.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
14K685,El Puente Academy for Peace and Justice,Exceeding Target,21.4%,38.4%,333.3%,103.0%,163.9%,225.7%,4.99,Exceeding Target,12.5%,31.7%,628.6%,110.0%,197.0%,285.2%,4.99,Exceeding Target,60.7%,91.1%,223.5%,71.2%,127.5%,184.6%,4.45,Exceeding Target,30.4%,77.9%,294.1%,65.3%,116.9%,169.2%,4.99,Exceeding Target,60.7%,91.1%,67.6%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,60.7%,91.1%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,59.6%,98.0%,21.4%,11.4%,20.4%,29.5%,3.11,,,,,,,
15K429,Brooklyn School for Global Studies,N/A,8.8%,15.8%,,103.0%,163.9%,225.7%,,Meeting Target,29.4%,74.6%,270.0%,110.0%,197.0%,285.2%,3.83,Meeting Target,50.0%,75.1%,135.3%,71.2%,127.5%,184.6%,3.14,Meeting Target,29.4%,75.4%,130.0%,65.3%,116.9%,169.2%,3.25,Meeting Target,50.0%,75.1%,17.6%,7.3%,13.0%,18.9%,3.78,Not Meeting Target,50.0%,75.1%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,54.0%,88.8%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
15K448,Brooklyn Secondary School for Collaborative Studie,N/A,4.5%,8.1%,,103.0%,163.9%,225.7%,,Exceeding Target,29.5%,74.9%,476.9%,110.0%,197.0%,285.2%,4.99,Exceeding Target,25.0%,37.5%,381.8%,71.2%,127.5%,184.6%,4.99,Exceeding Target,14.8%,37.9%,369.2%,65.3%,116.9%,169.2%,4.99,Exceeding Target,25.0%,37.5%,81.8%,7.3%,13.0%,18.9%,4.99,Exceeding Target,25.0%,37.5%,27.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,33.7%,55.4%,61.3%,11.4%,20.4%,29.5%,4.99,,,,,,,
15K462,Secondary School for Law,N/A,4.8%,8.6%,,103.0%,163.9%,225.7%,,Exceeding Target,13.3%,33.8%,400.0%,110.0%,197.0%,285.2%,4.85,Exceeding Target,22.9%,34.4%,252.6%,71.2%,127.5%,184.6%,4.78,Exceeding Target,13.3%,34.1%,245.5%,65.3%,116.9%,169.2%,4.95,Approaching Target,22.9%,34.4%,10.5%,7.3%,13.0%,18.9%,2.56,Exceeding Target,22.9%,34.4%,5.3%,1.4%,2.5%,3.7%,4.94,Exceeding Target,32.0%,52.6%,30.3%,11.4%,20.4%,29.5%,4.06,,,,,,,
15K463,Secondary School for Journalism,Meeting Target,20.0%,35.9%,175.0%,103.0%,163.9%,225.7%,3.18,Approaching Target,12.5%,31.7%,150.0%,110.0%,197.0%,285.2%,2.46,Meeting Target,37.5%,56.3%,140.0%,71.2%,127.5%,184.6%,3.22,Approaching Target,16.3%,41.8%,107.7%,65.3%,116.9%,169.2%,2.82,Not Meeting Target,37.5%,56.3%,6.7%,7.3%,13.0%,18.9%,1.92,Not Meeting Target,37.5%,56.3%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,40.9%,67.3%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
15K464,Park Slope Collegiate,Not Meeting Target,17.3%,31.1%,77.8%,103.0%,163.9%,225.7%,1.67,Approaching Target,15.4%,39.1%,156.3%,110.0%,197.0%,285.2%,2.53,Approaching Target,46.2%,69.4%,127.1%,71.2%,127.5%,184.6%,2.99,Approaching Target,23.1%,59.2%,112.5%,65.3%,116.9%,169.2%,2.91,Exceeding Target,46.2%,69.4%,58.3%,7.3%,13.0%,18.9%,4.99,Exceeding Target,46.2%,69.4%,4.2%,1.4%,2.5%,3.7%,4.29,Meeting Target,43.8%,72.0%,21.4%,11.4%,20.4%,29.5%,3.11,,,,,,,
15K497,School for International Studies,Not Meeting Target,17.5%,31.4%,90.9%,103.0%,163.9%,225.7%,1.84,N/A,9.5%,24.1%,166.7%,110.0%,197.0%,285.2%,,Approaching Target,22.2%,33.3%,114.3%,71.2%,127.5%,184.6%,2.77,N/A,4.8%,12.3%,,65.3%,116.9%,169.2%,,Not Meeting Target,22.2%,33.3%,7.1%,7.3%,13.0%,18.9%,1.97,Not Meeting Target,22.2%,33.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,42.0%,69.1%,43.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
15K519,Cobble Hill School of American Studies,N/A,7.8%,14.0%,150.0%,103.0%,163.9%,225.7%,,Meeting Target,20.6%,52.3%,237.9%,110.0%,197.0%,285.2%,3.46,Exceeding Target,41.8%,62.8%,189.0%,71.2%,127.5%,184.6%,4.05,Exceeding Target,24.8%,63.6%,198.6%,65.3%,116.9%,169.2%,4.37,Exceeding Target,41.8%,62.8%,40.7%,7.3%,13.0%,18.9%,4.99,Meeting Target,41.8%,62.8%,3.4%,1.4%,2.5%,3.7%,3.75,Exceeding Target,64.5%,100.0%,29.5%,11.4%,20.4%,29.5%,4.00,,,,,,,
15K592,Khalil Gibran International Academy,N/A,33.3%,59.8%,,103.0%,163.9%,225.7%,,N/A,66.7%,100.0%,,110.0%,197.0%,285.2%,,N/A,66.7%,100.0%,,71.2%,127.5%,184.6%,,N/A,66.7%,100.0%,,65.3%,116.9%,169.2%,,N/A,66.7%,100.0%,,7.3%,13.0%,18.9%,,N/A,66.7%,100.0%,,1.4%,2.5%,3.7%,,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
15K656,Brooklyn High School of the Arts,N/A,0.8%,1.4%,,103.0%,163.9%,225.7%,,N/A,7.3%,18.5%,188.9%,110.0%,197.0%,285.2%,,N/A,16.1%,24.2%,187.5%,71.2%,127.5%,184.6%,,N/A,3.2%,8.2%,,65.3%,116.9%,169.2%,,N/A,16.1%,24.2%,20.0%,7.3%,13.0%,18.9%,,N/A,16.1%,24.2%,15.0%,1.4%,2.5%,3.7%,,Exceeding Target,24.2%,39.8%,42.5%,11.4%,20.4%,29.5%,4.94,,,,,,,
15K667,Sunset Park High School,Approaching Target,25.1%,45.1%,151.3%,103.0%,163.9%,225.7%,2.79,Meeting Target,19.7%,50.0%,217.7%,110.0%,197.0%,285.2%,3.23,Meeting Target,44.8%,67.3%,146.1%,71.2%,127.5%,184.6%,3.33,Meeting Target,23.5%,60.3%,142.6%,65.3%,116.9%,169.2%,3.49,Meeting Target,44.8%,67.3%,14.9%,7.3%,13.0%,18.9%,3.32,Meeting Target,44.8%,67.3%,2.8%,1.4%,2.5%,3.7%,3.25,Exceeding Target,47.5%,78.1%,45.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
15K684,Millennium Brooklyn HS,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,Exceeding Target,10.6%,26.9%,562.5%,110.0%,197.0%,285.2%,4.99,N/A,3.5%,5.3%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,3.5%,5.3%,,7.3%,13.0%,18.9%,,N/A,3.5%,5.3%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
16K393,Frederick Douglass Academy IV Secondary School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,Exceeding Target,21.4%,54.3%,400.0%,110.0%,197.0%,285.2%,4.85,Exceeding Target,50.0%,75.1%,242.9%,71.2%,127.5%,184.6%,4.67,Exceeding Target,25.0%,64.1%,314.3%,65.3%,116.9%,169.2%,4.99,Not Meeting Target,50.0%,75.1%,7.1%,7.3%,13.0%,18.9%,1.97,Not Meeting Target,50.0%,75.1%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,52.9%,87.0%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
16K455,Boys and Girls High School,N/A,6.9%,12.4%,153.8%,103.0%,163.9%,225.7%,,Not Meeting Target,21.8%,55.3%,34.1%,110.0%,197.0%,285.2%,1.31,Approaching Target,48.9%,73.4%,79.9%,71.2%,127.5%,184.6%,2.15,Approaching Target,30.3%,77.7%,82.5%,65.3%,116.9%,169.2%,2.33,Not Meeting Target,48.9%,73.4%,4.3%,7.3%,13.0%,18.9%,1.59,Not Meeting Target,48.9%,73.4%,1.1%,1.4%,2.5%,3.7%,1.79,Not Meeting Target,58.1%,95.6%,7.3%,11.4%,20.4%,29.5%,1.64,,,,,,,
16K498,Brooklyn High School for Law and Technology,N/A,8.2%,14.7%,250.0%,103.0%,163.9%,225.7%,,Approaching Target,20.0%,50.8%,190.9%,110.0%,197.0%,285.2%,2.93,Meeting Target,37.3%,56.0%,175.6%,71.2%,127.5%,184.6%,3.84,Exceeding Target,23.6%,60.5%,184.6%,65.3%,116.9%,169.2%,4.19,Approaching Target,37.3%,56.0%,7.3%,7.3%,13.0%,18.9%,2.00,Not Meeting Target,37.3%,56.0%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,46.8%,77.0%,32.4%,11.4%,20.4%,29.5%,4.21,,,,,,,
16K594,Gotham Professional Arts Academy,N/A,4.0%,7.2%,,103.0%,163.9%,225.7%,,Meeting Target,24.0%,60.9%,266.7%,110.0%,197.0%,285.2%,3.79,Meeting Target,44.0%,66.1%,151.5%,71.2%,127.5%,184.6%,3.42,Exceeding Target,24.0%,61.5%,200.0%,65.3%,116.9%,169.2%,4.39,Not Meeting Target,44.0%,66.1%,6.1%,7.3%,13.0%,18.9%,1.84,Exceeding Target,44.0%,66.1%,6.1%,1.4%,2.5%,3.7%,4.99,Meeting Target,39.7%,65.3%,26.1%,11.4%,20.4%,29.5%,3.63,,,,,,,
16K688,The Brooklyn Academy of Global Finance,N/A,10.8%,19.4%,,103.0%,163.9%,225.7%,,Meeting Target,24.3%,61.7%,200.0%,110.0%,197.0%,285.2%,3.03,Meeting Target,40.5%,60.8%,146.7%,71.2%,127.5%,184.6%,3.34,Exceeding Target,18.9%,48.5%,178.6%,65.3%,116.9%,169.2%,4.12,Exceeding Target,40.5%,60.8%,40.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,40.5%,60.8%,33.3%,1.4%,2.5%,3.7%,4.99,Approaching Target,60.8%,100.0%,16.1%,11.4%,20.4%,29.5%,2.52,,,,,,,
16K765,Nelson Mandela High School,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
