Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
13K439,Brooklyn International High School,,,,,,,,,,67,69.0%,37.9%,,,,,,,,,,,,,,,432,92.7%,100.0%,334,92.7%,100.0%,333,92.7%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,32,32.9%,30,43.9%,100.0%,53,23.2%,100.0%,42,23.2%,100.0%,71.4%,75.3%,28.6%,32.0%,10.7%,15.5%,14.3%,8.2%,15.5%,13.4%,1.2%,5.2%,0.0%,1.0%,0.0%,0.0%,62.2%,11.3%,89.0%,89.7%,86.6%,12.4%,65.9%,60.8%,63.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.4%,0.0%
13K483,The Urban Assembly School for Law and Justice,67,66.7%,12.3%,66,56.4%,5.5%,48,13.3%,4.0%,84,97.4%,81.9%,77,83.9%,77,82.2%,,,,,61,56.3%,67,66.1%,,,446,87.6%,100.0%,443,87.6%,100.0%,430,87.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,41,44.8%,30,54.3%,100.0%,,12.4%,100.0%,,13.3%,100.0%,79.4%,90.8%,14.0%,14.3%,24.3%,28.6%,13.1%,16.3%,10.3%,13.3%,16.8%,16.3%,0.0%,0.0%,0.0%,0.0%,37.1%,44.9%,84.8%,87.8%,37.1%,44.9%,84.8%,86.7%,85.7%,10.5%,23.8%,0.0%,0.0%,1.0%,0.0%,16.2%,85.7%
13K499,ACORN Community High School,66,52.2%,9.6%,51,12.5%,2.1%,44,10.5%,0.0%,66,58.2%,32.0%,64,56.5%,65,57.4%,,,,,56,29.9%,63,50.4%,88,100.0%,379,61.3%,100.0%,395,61.3%,100.0%,385,61.3%,15,10.7%,0.0%,15,10.7%,100.0%,16,10.7%,15,10.7%,36,29.3%,30,33.3%,100.0%,74,17.3%,100.0%,53,16.7%,100.0%,52.8%,67.1%,14.6%,18.6%,23.0%,21.7%,6.2%,9.3%,2.8%,6.2%,5.1%,6.8%,0.0%,1.9%,0.0%,0.6%,11.3%,13.7%,44.7%,72.0%,12.7%,14.9%,46.0%,49.1%,16.7%,3.3%,2.0%,0.0%,0.0%,0.7%,0.0%,12.0%,0.0%
13K527,Urban Assembly Institute of Math and Science for Y,63,48.3%,4.6%,61,40.4%,1.9%,,,,74,84.5%,54.9%,67,59.7%,65,57.0%,,,,,63,47.3%,70,71.9%,89,100.0%,397,82.4%,100.0%,415,82.4%,100.0%,407,82.4%,,2.7%,100.0%,,2.7%,100.0%,,2.7%,,2.7%,29,40.5%,26,45.9%,100.0%,78,20.3%,100.0%,55,20.3%,100.0%,89.1%,81.0%,40.0%,17.5%,16.4%,23.8%,7.3%,22.2%,9.1%,7.9%,14.5%,9.5%,1.8%,0.0%,0.0%,0.0%,23.0%,46.0%,79.7%,85.7%,21.6%,28.6%,70.3%,60.3%,56.8%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,56.8%,0.0%
13K595,Bedford Academy High School,75,97.3%,20.0%,85,98.4%,81.0%,74,82.6%,21.7%,86,100.0%,98.0%,89,100.0%,84,100.0%,73,97.3%,,,77,97.3%,83,97.6%,85,100.0%,505,96.2%,100.0%,464,96.2%,100.0%,456,96.2%,,15.2%,100.0%,,15.2%,100.0%,,15.2%,,15.2%,,7.6%,,10.1%,100.0%,,7.6%,100.0%,,7.6%,100.0%,82.4%,85.4%,6.6%,11.7%,27.5%,24.3%,25.3%,11.7%,6.6%,15.5%,16.5%,22.3%,0.0%,0.0%,0.0%,0.0%,70.9%,66.0%,96.2%,95.1%,77.2%,70.9%,91.1%,88.3%,79.7%,74.7%,26.6%,0.0%,0.0%,1.3%,0.0%,26.6%,0.0%
13K605,George Westinghouse Career and Technical Education,57,27.8%,0.4%,56,29.8%,5.3%,47,4.5%,4.5%,70,73.1%,45.0%,68,65.2%,58,37.3%,61,43.8%,,,,,59,34.7%,,,394,45.3%,100.0%,422,45.3%,100.0%,400,45.3%,,1.9%,0.0%,,1.9%,0.0%,,1.3%,,1.9%,40,23.9%,29,27.0%,100.0%,,8.2%,100.0%,,8.2%,100.0%,46.7%,49.4%,10.3%,14.3%,14.4%,10.1%,4.6%,8.9%,12.8%,11.8%,1.5%,4.2%,0.0%,0.0%,0.0%,0.0%,10.7%,10.1%,66.7%,66.7%,11.3%,10.5%,54.7%,43.5%,27.0%,3.8%,1.3%,0.0%,5.7%,8.2%,0.0%,11.3%,18.9%
13K670,Benjamin Banneker Academy,64,59.5%,0.0%,62,46.9%,4.3%,59,37.0%,12.0%,81,89.1%,77.0%,62,51.5%,76,82.3%,69,71.3%,62,50.0%,67,60.9%,75,79.2%,85,96.3%,479,85.5%,100.0%,484,85.5%,100.0%,472,85.5%,21,21.5%,100.0%,20,21.5%,100.0%,21,21.5%,20,21.5%,50,10.3%,33,13.6%,100.0%,,3.7%,100.0%,,4.2%,100.0%,80.5%,86.2%,13.8%,8.9%,17.9%,24.6%,19.5%,16.1%,10.8%,12.1%,18.5%,23.7%,0.0%,0.0%,0.0%,0.0%,50.5%,54.9%,90.2%,96.4%,51.9%,55.4%,83.2%,91.1%,62.6%,51.4%,15.4%,0.0%,0.0%,0.0%,0.0%,29.9%,0.0%
13K674,"City Polytechnic High School of Engineering, Archi",68,66.9%,14.0%,64,56.1%,6.1%,33,0.0%,0.0%,75,86.6%,63.8%,73,76.0%,65,54.6%,,,,,,,67,64.1%,,,503,18.5%,100.0%,477,18.5%,100.0%,427,18.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,8.9%,,11.3%,100.0%,,6.5%,100.0%,,6.5%,100.0%,55.8%,89.0%,3.5%,2.0%,32.6%,60.0%,2.3%,2.0%,0.0%,6.0%,4.7%,6.0%,0.0%,0.0%,0.0%,0.0%,61.3%,44.0%,83.1%,86.0%,62.9%,47.0%,79.8%,67.0%,73.4%,21.0%,0.0%,0.0%,19.4%,19.4%,0.0%,70.2%,0.0%
14K071,Juan Morel Campos Secondary School,61,39.6%,6.4%,61,46.3%,16.4%,,,,62,55.6%,22.6%,60,43.2%,51,24.6%,47,7.4%,,,52,13.2%,61,45.6%,,,366,56.3%,100.0%,356,56.3%,100.0%,353,56.3%,,6.9%,0.0%,,6.9%,0.0%,,6.9%,,6.9%,32,20.7%,28,23.0%,100.0%,,14.9%,100.0%,,14.9%,100.0%,46.3%,40.4%,12.6%,6.4%,15.8%,22.9%,9.5%,3.7%,7.4%,5.5%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,6.9%,15.6%,43.7%,45.9%,6.9%,12.8%,33.3%,39.4%,16.1%,5.7%,12.6%,0.0%,0.0%,0.0%,0.0%,2.3%,1.1%
14K322,Foundations Academy,52,15.8%,0.0%,,,,,,,64,56.7%,33.3%,57,38.7%,46,14.3%,,,,,,,51,12.5%,,,,18.9%,0.0%,,18.9%,100.0%,,18.9%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,8.1%,,18.9%,100.0%,,10.8%,100.0%,,10.8%,100.0%,16.0%,19.4%,4.0%,3.2%,8.0%,3.2%,0.0%,0.0%,4.0%,6.5%,0.0%,3.2%,0.0%,0.0%,0.0%,0.0%,5.4%,3.2%,21.6%,35.5%,10.8%,3.2%,13.5%,12.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
14K449,"Brooklyn Latin School, The",72,96.6%,4.5%,81,99.0%,58.4%,71,72.4%,32.3%,95,100.0%,99.5%,89,99.2%,82,97.3%,76,92.4%,,,,,87,100.0%,83,97.0%,625,97.5%,100.0%,588,97.5%,100.0%,591,97.5%,26,37.3%,100.0%,24,37.3%,100.0%,26,20.9%,25,37.3%,,0.0%,,0.6%,100.0%,,0.0%,0.0%,,0.0%,0.0%,91.9%,97.7%,3.6%,2.3%,29.7%,26.7%,18.9%,18.6%,16.2%,17.4%,23.4%,32.6%,0.0%,0.0%,0.0%,0.0%,97.5%,100.0%,98.1%,100.0%,98.7%,100.0%,100.0%,100.0%,99.4%,98.1%,0.0%,90.5%,0.0%,0.0%,0.0%,0.0%,0.0%
14K454,Green School: An Academy for Environmental Careers,60,38.4%,1.6%,,,,,,,67,74.7%,44.3%,67,65.0%,50,25.2%,,,,,,,60,46.3%,,,384,41.1%,100.0%,398,41.1%,100.0%,399,41.1%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,33,29.5%,24,30.5%,100.0%,,13.7%,100.0%,,13.7%,100.0%,34.7%,32.1%,12.6%,10.3%,7.4%,3.8%,7.4%,7.7%,2.1%,2.6%,2.1%,6.4%,0.0%,0.0%,0.0%,0.0%,5.3%,5.1%,65.3%,50.0%,6.3%,5.1%,51.6%,32.1%,69.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.7%,69.5%
14K474,PROGRESS High School for Professional Careers,61,42.4%,3.3%,56,30.9%,1.5%,46,15.9%,0.0%,69,73.1%,47.6%,71,74.2%,63,55.1%,52,11.1%,,,55,31.6%,59,40.2%,91,100.0%,380,44.9%,100.0%,377,44.9%,100.0%,384,44.9%,,1.4%,0.0%,,1.4%,0.0%,,0.7%,,1.4%,34,31.2%,27,34.4%,100.0%,65,13.0%,100.0%,52,12.6%,100.0%,40.5%,47.4%,16.8%,18.5%,11.5%,8.8%,4.6%,5.2%,4.2%,4.8%,1.5%,8.0%,0.0%,0.0%,0.0%,0.0%,11.6%,12.9%,65.3%,69.1%,14.7%,13.7%,51.6%,47.8%,20.7%,1.4%,1.4%,0.0%,0.0%,0.7%,0.0%,19.3%,0.4%
14K477,School for Legal Studies,61,39.6%,4.9%,54,10.3%,2.6%,59,47.1%,0.0%,72,79.0%,54.3%,68,73.0%,54,32.9%,54,17.6%,,,,,60,43.5%,94,100.0%,393,34.8%,100.0%,390,34.8%,100.0%,394,34.8%,,0.6%,0.0%,,0.6%,0.0%,,0.6%,,0.6%,30,16.3%,24,17.4%,100.0%,57,8.4%,100.0%,46,8.4%,100.0%,30.6%,36.1%,6.0%,9.1%,10.4%,12.5%,7.7%,3.4%,1.1%,4.3%,2.7%,5.3%,0.0%,0.0%,0.0%,0.0%,10.1%,7.2%,36.0%,55.3%,13.5%,8.2%,43.8%,45.2%,15.2%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,7.9%,7.3%
14K478,"The High School for Enterprise, Business and Techn",62,48.9%,1.9%,62,44.0%,7.1%,56,34.2%,7.9%,71,77.2%,50.4%,77,81.7%,62,49.5%,63,48.0%,61,36.8%,65,58.7%,69,66.5%,91,96.4%,463,54.5%,100.0%,446,54.5%,100.0%,425,54.5%,,1.9%,100.0%,,1.9%,100.0%,,1.5%,,1.9%,41,18.0%,31,22.9%,100.0%,72,9.8%,100.0%,53,9.0%,100.0%,73.6%,72.8%,25.2%,22.6%,21.2%,21.7%,14.4%,14.3%,8.4%,9.2%,4.4%,4.1%,0.0%,0.5%,0.0%,0.0%,32.0%,19.4%,72.6%,76.5%,33.1%,22.6%,62.8%,53.0%,77.4%,22.2%,11.3%,0.0%,43.6%,44.4%,0.0%,39.5%,66.5%
14K488,Brooklyn Preparatory High School,65,60.6%,2.1%,60,41.5%,3.8%,34,0.0%,0.0%,74,84.2%,55.9%,75,80.5%,65,55.7%,55,14.6%,36,1.8%,,,70,70.0%,,,391,74.5%,100.0%,406,74.5%,100.0%,391,74.5%,,9.1%,100.0%,,9.1%,100.0%,,9.1%,,9.1%,36,37.3%,28,42.7%,100.0%,74,20.9%,100.0%,54,20.9%,100.0%,47.4%,61.4%,16.4%,13.9%,11.2%,27.7%,8.6%,5.0%,6.9%,5.9%,4.3%,6.9%,0.0%,0.0%,0.0%,0.0%,19.1%,16.8%,71.8%,55.4%,21.8%,23.8%,60.0%,46.5%,10.9%,0.9%,5.5%,0.0%,0.0%,0.0%,0.0%,4.5%,0.0%
14K558,Williamsburg High School for Architecture and Desi,70,83.5%,12.6%,69,75.8%,8.4%,51,28.4%,10.8%,80,96.6%,76.7%,81,91.6%,68,70.0%,53,16.9%,,,72,73.8%,80,94.2%,,,415,60.1%,100.0%,424,60.1%,100.0%,407,60.1%,,2.0%,100.0%,,2.0%,0.0%,,1.4%,,2.0%,33,23.6%,25,26.4%,100.0%,,9.5%,100.0%,,9.5%,100.0%,56.0%,66.7%,14.7%,21.5%,27.6%,28.0%,6.0%,7.5%,2.6%,3.2%,2.6%,3.2%,0.0%,0.0%,0.0%,0.0%,31.8%,37.6%,89.2%,88.2%,33.8%,39.8%,73.0%,59.1%,89.9%,21.6%,0.7%,0.0%,68.9%,87.2%,0.0%,10.8%,0.0%
14K561,Williamsburg Preparatory School,70,81.2%,13.9%,72,77.6%,21.5%,63,50.5%,11.0%,77,87.0%,63.2%,80,88.0%,71,66.5%,71,76.8%,67,66.7%,66,60.5%,67,64.2%,78,75.9%,443,87.8%,100.0%,440,87.8%,100.0%,430,87.8%,20,21.5%,100.0%,18,21.5%,100.0%,20,11.6%,19,21.5%,34,30.8%,26,34.9%,100.0%,67,15.1%,100.0%,52,15.1%,100.0%,76.6%,77.9%,21.6%,15.7%,18.0%,21.4%,19.8%,13.6%,12.6%,20.7%,3.0%,4.3%,0.0%,2.1%,0.0%,0.0%,44.8%,40.7%,84.9%,90.7%,45.3%,43.6%,76.7%,79.3%,90.1%,41.3%,20.3%,0.0%,0.0%,0.0%,0.0%,23.8%,89.0%
14K586,Lyons Community School,,,,,,,,,,69,71.4%,33.0%,59,58.3%,57,43.8%,,,,,,,,,,,374,56.3%,100.0%,376,56.3%,100.0%,357,56.3%,,9.9%,0.0%,,9.9%,100.0%,,9.9%,,9.9%,,18.3%,32,21.1%,100.0%,,14.1%,100.0%,,14.1%,100.0%,30.9%,45.9%,11.1%,18.9%,11.1%,12.2%,2.5%,5.4%,1.2%,4.1%,4.9%,2.7%,0.0%,0.0%,0.0%,0.0%,11.3%,1.4%,50.7%,63.5%,15.5%,5.4%,38.0%,40.5%,8.5%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,7.0%,0.0%
14K610,Automotive High School,60,40.0%,1.1%,50,16.7%,2.4%,,,,56,41.2%,17.1%,61,47.4%,53,26.8%,,,,,51,22.2%,49,16.9%,,,367,31.6%,0.0%,381,31.6%,100.0%,328,31.6%,,1.0%,0.0%,,1.0%,0.0%,,0.0%,,1.0%,,6.1%,,6.1%,0.0%,,5.1%,100.0%,,5.1%,100.0%,26.1%,32.6%,11.9%,10.5%,2.2%,10.5%,6.7%,2.6%,1.5%,5.8%,1.5%,1.6%,0.0%,0.0%,0.0%,0.0%,3.1%,6.8%,38.8%,43.7%,3.1%,7.9%,15.3%,40.0%,17.3%,1.0%,1.0%,0.0%,14.3%,14.3%,0.0%,1.0%,0.0%
14K614,Young Women's Leadership School of Brooklyn,66,67.7%,3.9%,71,77.1%,11.4%,,,,76,87.5%,60.7%,74,80.8%,62,45.9%,,,,,63,47.2%,72,80.0%,,,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,20.0%,,22.2%,100.0%,,11.1%,100.0%,,11.1%,100.0%,,,,,,,,,,,,,,,,,33.3%,,91.1%,,37.8%,,80.0%,,37.8%,24.4%,15.6%,0.0%,0.0%,0.0%,0.0%,26.7%,0.0%
14K632,Frances Perkins Academy,68,88.1%,0.0%,48,0.0%,0.0%,,,,65,55.2%,31.0%,71,80.6%,58,43.5%,,,,,,,66,71.4%,,,399,46.3%,100.0%,413,46.3%,100.0%,400,46.3%,,34.1%,100.0%,,34.1%,100.0%,,17.1%,,34.1%,,26.8%,,26.8%,0.0%,,19.5%,100.0%,,19.5%,100.0%,41.2%,32.4%,8.8%,10.8%,14.7%,13.5%,5.9%,2.7%,2.9%,2.7%,8.8%,0.0%,0.0%,0.0%,0.0%,0.0%,4.9%,0.0%,58.5%,51.4%,4.9%,0.0%,46.3%,29.7%,17.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,17.1%,0.0%
14K685,El Puente Academy for Peace and Justice,,,,,,,,,,72,80.3%,51.3%,,,,,,,,,,,,,,,344,62.5%,0.0%,380,62.5%,100.0%,379,62.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,17.9%,,21.4%,100.0%,,3.6%,0.0%,,3.6%,100.0%,38.3%,57.1%,8.5%,32.7%,0.0%,2.0%,10.6%,8.2%,17.0%,10.2%,2.1%,2.0%,0.0%,0.0%,0.0%,0.0%,3.6%,2.0%,66.1%,81.6%,3.6%,4.1%,62.5%,49.0%,73.2%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,26.8%,71.4%
15K429,Brooklyn School for Global Studies,57,22.0%,0.0%,58,22.2%,0.0%,,,,75,85.4%,73.2%,73,76.7%,59,43.1%,,,,,52,36.0%,60,38.2%,,,393,61.8%,100.0%,381,61.8%,100.0%,402,61.8%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,23.5%,,26.5%,100.0%,,14.7%,100.0%,,14.7%,100.0%,30.0%,63.5%,4.0%,8.1%,8.0%,23.0%,10.0%,10.8%,6.0%,12.2%,2.0%,9.5%,0.0%,0.0%,0.0%,0.0%,8.8%,5.4%,64.7%,75.7%,14.7%,5.4%,47.1%,44.6%,35.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.3%,0.0%
15K448,Brooklyn Secondary School for Collaborative Studie,,,,,,,,,,74,78.9%,57.8%,,,,,,,,,,,,,,,401,84.1%,100.0%,411,84.1%,100.0%,404,84.1%,,1.1%,0.0%,,1.1%,0.0%,,1.1%,,1.1%,38,45.5%,24,47.7%,100.0%,67,18.2%,100.0%,54,17.0%,100.0%,66.3%,77.1%,13.0%,13.3%,13.0%,14.5%,19.6%,20.5%,10.9%,20.5%,9.8%,6.0%,0.0%,0.0%,0.0%,0.0%,53.4%,27.7%,88.6%,88.0%,55.7%,27.7%,84.1%,72.3%,88.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,88.6%
15K462,Secondary School for Law,66,61.8%,6.8%,58,35.0%,3.0%,44,5.3%,5.3%,65,57.1%,26.5%,69,61.7%,62,50.4%,65,61.1%,,,65,53.1%,63,44.4%,77,86.7%,420,74.7%,100.0%,424,74.7%,100.0%,414,74.7%,,1.2%,0.0%,,1.2%,0.0%,,1.2%,,1.2%,36,22.9%,31,31.3%,100.0%,,9.6%,100.0%,,12.0%,100.0%,62.1%,68.4%,15.5%,17.9%,29.1%,31.6%,8.7%,7.4%,1.9%,3.2%,3.9%,8.4%,0.0%,0.0%,0.0%,0.0%,26.5%,21.1%,81.9%,68.4%,28.9%,24.2%,73.5%,56.8%,30.1%,19.3%,3.6%,0.0%,0.0%,1.2%,0.0%,20.5%,0.0%
15K463,Secondary School for Journalism,57,22.5%,4.9%,52,13.7%,2.0%,54,16.7%,0.0%,74,84.7%,58.2%,70,68.3%,57,35.5%,,,,,54,27.8%,60,37.5%,,,408,58.8%,100.0%,435,58.8%,100.0%,415,58.8%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,33,26.3%,31,30.0%,100.0%,,17.5%,100.0%,,17.5%,100.0%,40.9%,56.3%,12.1%,22.5%,15.2%,15.5%,1.5%,0.0%,7.6%,7.0%,1.5%,8.5%,0.0%,0.0%,0.0%,0.0%,17.5%,8.5%,57.5%,67.6%,18.8%,14.1%,53.8%,29.6%,22.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,15.0%,0.0%
15K464,Park Slope Collegiate,63,55.1%,2.6%,56,33.8%,1.4%,49,9.1%,4.5%,69,77.8%,53.5%,75,80.3%,55,38.8%,,,,,45,5.9%,66,60.2%,,,405,59.6%,100.0%,377,59.6%,100.0%,395,59.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,21.2%,,25.0%,100.0%,,17.3%,100.0%,,17.3%,100.0%,46.9%,45.8%,20.3%,16.9%,17.2%,20.3%,1.6%,0.0%,3.1%,5.1%,4.7%,1.7%,0.0%,0.0%,0.0%,0.0%,17.3%,11.9%,55.8%,61.0%,19.2%,13.6%,44.2%,39.0%,71.2%,19.2%,0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,71.2%
15K497,School for International Studies,56,17.5%,1.9%,58,30.4%,1.4%,31,2.4%,0.0%,66,62.5%,39.1%,68,64.3%,56,33.3%,,,,,55,26.5%,61,45.7%,86,87.5%,417,65.1%,100.0%,406,65.1%,100.0%,394,65.1%,,14.3%,100.0%,,14.3%,100.0%,,3.2%,,14.3%,49,23.8%,32,27.0%,100.0%,,12.7%,100.0%,,12.7%,100.0%,55.7%,58.7%,23.9%,20.0%,22.7%,25.3%,2.3%,4.0%,3.4%,1.3%,3.4%,4.0%,0.0%,0.0%,0.0%,0.0%,20.6%,21.3%,65.1%,69.3%,22.2%,25.3%,65.1%,54.7%,28.6%,9.5%,4.8%,0.0%,0.0%,0.0%,0.0%,1.6%,27.0%
15K519,Cobble Hill School of American Studies,61,43.5%,1.6%,55,27.3%,0.0%,49,17.1%,4.9%,68,71.1%,37.4%,67,63.9%,57,36.0%,59,33.3%,,,57,29.1%,61,47.2%,,,416,55.3%,100.0%,420,55.3%,100.0%,402,55.3%,,2.1%,100.0%,,2.1%,100.0%,,1.4%,,2.1%,33,30.5%,30,42.6%,100.0%,70,21.3%,100.0%,52,21.3%,100.0%,40.5%,63.5%,8.3%,13.5%,22.3%,20.3%,5.0%,8.8%,1.7%,10.8%,1.7%,5.4%,0.0%,0.0%,0.0%,2.7%,18.4%,16.2%,61.7%,64.2%,23.4%,18.2%,51.8%,50.7%,54.6%,9.2%,5.0%,0.0%,0.0%,0.0%,0.0%,20.6%,41.1%
15K592,Khalil Gibran International Academy,62,40.2%,4.3%,63,54.5%,6.8%,54,18.2%,3.0%,67,68.1%,40.4%,77,85.3%,64,47.5%,,,,,49,10.0%,66,61.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15K656,Brooklyn High School of the Arts,67,62.4%,7.4%,62,44.2%,2.2%,51,20.1%,4.5%,77,87.9%,69.5%,78,89.2%,68,66.4%,54,17.1%,,,62,50.0%,70,74.0%,87,100.0%,439,80.6%,100.0%,441,80.6%,100.0%,436,80.6%,,6.5%,100.0%,,6.5%,100.0%,,4.8%,,6.5%,33,26.6%,37,43.5%,100.0%,75,20.2%,100.0%,54,20.2%,100.0%,60.0%,72.2%,9.1%,19.0%,21.2%,19.0%,10.9%,8.2%,7.3%,12.7%,9.1%,12.7%,0.0%,0.0%,0.0%,0.0%,40.3%,24.7%,91.1%,84.8%,43.5%,25.9%,78.2%,72.8%,37.1%,28.2%,12.9%,0.0%,0.0%,0.0%,0.0%,19.4%,0.0%
15K667,Sunset Park High School,66,60.9%,5.4%,49,15.5%,0.8%,47,23.8%,6.0%,72,79.2%,48.1%,68,63.3%,60,42.4%,,,,,62,47.2%,65,54.1%,84,87.3%,398,61.6%,100.0%,380,61.6%,100.0%,381,61.6%,,0.3%,100.0%,,0.3%,0.0%,,0.3%,,0.3%,36,35.9%,27,40.3%,100.0%,63,21.0%,100.0%,50,21.9%,100.0%,57.6%,63.5%,19.0%,19.4%,24.7%,26.6%,5.1%,5.9%,7.1%,8.9%,0.7%,2.0%,0.0%,0.0%,0.0%,0.0%,18.1%,10.5%,58.7%,72.0%,21.3%,10.9%,47.9%,60.5%,22.2%,0.6%,11.1%,0.0%,0.0%,0.0%,0.0%,16.8%,0.0%
15K684,Millennium Brooklyn HS,72,97.4%,7.9%,75,92.0%,25.1%,67,65.3%,16.8%,90,100.0%,99.0%,89,100.0%,83,97.6%,71,75.5%,67,67.4%,78,90.2%,84,100.0%,88,97.2%,553,79.6%,100.0%,551,79.6%,100.0%,539,79.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,8.0%,,12.4%,100.0%,,2.7%,100.0%,,2.7%,100.0%,,,,,,,,,,,,,,,,,71.7%,,94.7%,,74.3%,,92.9%,,65.5%,54.9%,29.2%,0.0%,0.0%,0.0%,0.0%,23.9%,0.0%
16K393,Frederick Douglass Academy IV Secondary School,62,50.0%,8.7%,,,,,,,71,71.4%,47.6%,56,43.3%,57,31.6%,45,0.0%,,,,,55,23.3%,,,,42.9%,100.0%,,42.9%,100.0%,,42.9%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,10.7%,,14.3%,100.0%,,7.1%,100.0%,,7.1%,100.0%,38.2%,52.9%,2.9%,17.6%,17.6%,11.8%,5.9%,0.0%,8.8%,15.7%,2.9%,2.0%,0.0%,0.0%,0.0%,0.0%,10.7%,3.9%,71.4%,84.3%,10.7%,5.9%,53.6%,33.3%,21.4%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,17.9%,0.0%
